"index","Research_Method","Continent","hypothesis","support_for_hypothesis","Number_of_species","type_of_experiment","has_research_problem","Study_date","study","publication","Habitat","Investigated_species","same_as","Measure_of_resistance/susceptibility","Measure_of_invasion_success","Measure_of_species_similarity","Measure_of_species_relationship","WOS_search_or_Cited_references","Specific_traits","Species_name","Phenotypic_plasticity_form","Measure_of_disturbance","Type_of_disturbance","Direct_anthropogenic_dist.?","Measure_of_propagule_pressure","Type_of_interaction","Type_of_effect_description","Ecological_Level_of_evidence","Outcome_of_interaction","Transition_in_the_invasion_process","Observed_proportion_of_species_making_the_transition","Measure_of_native_biodiversity","Sub-hypothesis","Which_species_are_compared?","Indicator_for_enemy_release","Release_of_which_kind_of_enemies?","Title","DOI","Abstract"
"Propagule pressure and resource availability determine plant community invasibility in a temperate forest understorey/Contribution 2","Experimental","North America","Propagule pressure","Supported",2,"Field","Testing the propagule pressure hypothesis in invasion biology",2009,"Propagule pressure and resource availability determine plant community invasibility in a temperate forest understorey/Contribution 2","Propagule pressure and resource availability determine plant community invasibility in a temperate forest understorey","Terrestrial","Plants",NA,NA,"Biomass",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule pressure and resource availability determine plant community invasibility in a temperate forest understorey","10.1111/j.1600-0706.2008.17069.x","Few field experiments have examined the effects of both resource availability and propagule pressure on plant community invasibility. Two non-native forest species, a herb and a shrub (Hesperis matronalis and Rhamnus cathartica, respectively), were sown into 60 1-m(2) sub-plots distributed across three plots. These contained reconstructed native plant communities in a replaced surface soil layer in a North American forest interior. Resource availability and propagule pressure were manipulated as follows: understorey light level (shaded/unshaded), nutrient availability (control/fertilized), and seed pressures of the two non-native species (control/low/high). Hesperis and Rhamnus cover and the above-ground biomass of Hesperis were significantly higher in shaded sub-plots and at greater propagule pressures. Similarly, the above-ground biomass of Rhamnus was significantly increased with propagule pressure, although this was a function of density. In contrast, of species that seeded into plots from the surrounding forest during the growing season, the non-native species had significantly greater cover in unshaded sub-plots. Plants in these unshaded sub-plots were significantly taller than plants in shaded sub-plots, suggesting a greater fitness. Total and non-native species richness varied significantly among plots indicating the importance of fine-scale dispersal patterns. None of the experimental treatments influenced native species. Since the forest seed bank in our study was colonized primarily by non-native ruderal species that dominated understorey vegetation, the management of invasions by non-native species in forest understoreys will have to address factors that influence light levels and dispersal pathways."
"Propagule pressure and stream characteristics influence introgression: cutthroat and rainbow trout in British Columbia/Contribution 1","Observational or correlational","North America","Propagule pressure","Supported",1,"Field","Testing the propagule pressure hypothesis in invasion biology",2010,"Propagule pressure and stream characteristics influence introgression: cutthroat and rainbow trout in British Columbia/Contribution 1","Propagule pressure and stream characteristics influence introgression: cutthroat and rainbow trout in British Columbia","Freshwater","Fishes",NA,NA,"Introgression with native salmonids",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other proxies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule pressure and stream characteristics influence introgression: cutthroat and rainbow trout in British Columbia","10.1890/08-0441.1","Hybridization and introgression between introduced and native salmonids threaten the continued persistence of many inland cutthroat trout species. Environmental models have been developed to predict the spread of introgression, but few Studies have assessed the role of propagule pressure. We used an extensive set of fish stocking records and geographic information system (GIS) data to produce a spatially explicit index of potential propagule pressure exerted by introduced rainbow trout in the Upper Kootenay River, British Columbia, Canada. We then used logistic regression and the information-theoretic approach to test the ability of a set of environmental and spatial variables to predict the level of introgression between native westslope cutthroat trout and introduced rainbow trout. Introgression was assessed using between four and seven co-dominant, diagnostic nuclear markers at 45 sites in 31 different streams. The best model for predicting introgression included Our GIs propagule pressure index and an environmental Variable that accounted for the biogeoclimatic zone of the site (r(2) =0.62). This model,vas 1.4 times more likely to explain introgression than the next-best model, which consisted Of Only the propagule pressure index variable. We created a composite model based oil the model-averaged results of the seven top models that included environmental, spatial, and propagule pressure variables. The propagule pressure index had the highest importance weight (0.995) of all variables tested and was negatively related to sites with no introgression. This Study used an index Of propagule pressure and demonstrated that propagule Pressure had the greatest influence oil the level of introgression between a native and introduced trout in a human-induced hybrid zone."
"Propagule pressure and the invasion risks of non-native freshwater fishes: a case study in England/Contribution 1","Observational or correlational","Europe","Propagule pressure","Supported",24,"Field","Testing the propagule pressure hypothesis in invasion biology",2007,"Propagule pressure and the invasion risks of non-native freshwater fishes: a case study in England/Contribution 1","Propagule pressure and the invasion risks of non-native freshwater fishes: a case study in England","Freshwater","Fishes",NA,NA,"Recruitment, reproduction",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other proxies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule pressure and the invasion risks of non-native freshwater fishes: a case study in England","10.1111/j.1095-8649.2007.01680.x","European countries in general, and England in particular, have a long history of introducing non-native fish species, but there exist no detailed studies of the introduction pathways and propagules pressure for any European country. Using the nine regions of England as a preliminary case study, the potential relationship between the occurrence in the wild of non-native freshwater fishes (from a recent audit of non-native species) and the intensity (i.e. propagule pressure) and diversity of fish imports was investigated. The main pathways of introduction were via imports of fishes for ornamental use (e.g. aquaria and garden ponds) and sport fishing, with no reported or suspected cases of ballast water or hull fouling introductions. The recorded occurrence of non-native fishes in the wild was found to be related to the time (number of years) since the decade of introduction. A shift in the establishment rate, however, was observed in the 1970s after which the ratio of established-to-introduced species declined. The number of established non-native fish species observed in the wild was found to increase significantly (P < 0-05) with increasing import intensity (log(10)x + 1 of the numbers of fish imported for the years 2000-2004) and with increasing consignment diversity (log(10)x + 1 of the numbers of consignment types imported for the years 2000-2004). The implications for policy and management are discussed. (c) 2007 Crown Copyright."
"Propagule pressure as a driver of establishment success in deliberately introduced exotic species: fact or artefact?/Contribution 1","Observational or correlational","Oceania","Propagule pressure","Supported",242,"Field","Testing the propagule pressure hypothesis in invasion biology",2013,"Propagule pressure as a driver of establishment success in deliberately introduced exotic species: fact or artefact?/Contribution 1","Propagule pressure as a driver of establishment success in deliberately introduced exotic species: fact or artefact?","Terrestrial","Birds",NA,NA,"Establishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule pressure as a driver of establishment success in deliberately introduced exotic species: fact or artefact?","10.1007/s10530-013-0451-x","A central paradigm in invasion biology is that more releases of higher numbers of individuals increase the likelihood that an exotic population successfully establishes and persists. Recently, however, it has been suggested that, in cases where the data are sourced from historical records of purposefully released species, the direction of causality is reversed, and that initial success leads to higher numbers being released. Here, we explore the implications of this alternative hypothesis, and derive six a priori predictions from it. We test these predictions using data on Acclimatization Society introductions of passerine bird species to New Zealand, which have previously been used to support both hypotheses for the direction of causality. All our predictions are falsified. This study reaffirms that the conventional paradigm in invasion biology is indeed the correct one for New Zealand passerine bird introductions, for which numbers released determine establishment success. Our predictions are not restricted to this fauna, however, and we keenly anticipate their application to other suitable datasets."
"Propagule pressure drives establishment of introduced freshwater fish: quantitative evidence from an irrigation network/Contribution 1","Observational or correlational","Africa","Propagule pressure","Supported",9,"Field","Testing the propagule pressure hypothesis in invasion biology",2013,"Propagule pressure drives establishment of introduced freshwater fish: quantitative evidence from an irrigation network/Contribution 1","Propagule pressure drives establishment of introduced freshwater fish: quantitative evidence from an irrigation network","Freshwater","Fishes",NA,NA,"Establishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule pressure drives establishment of introduced freshwater fish: quantitative evidence from an irrigation network","10.1890/12-1262.1","Propagule pressure is recognized as a fundamental driver of freshwater fish invasions, though few studies have quantified its role. Natural experiments can be used to quantify the role of this factor relative to others in driving establishment success. An irrigation network in South Africa takes water from an inter-basin water transfer (IBWT) scheme to supply multiple small irrigation ponds. We compared fish community composition upstream, within, and downstream of the irrigation network, to show that this system is a unidirectional dispersal network with a single immigration source. We then assessed the effect of propagule pressure and biological adaptation on the colonization success of nine fish species across 30 recipient ponds of varying age. Establishing species received significantly more propagules at the source than did incidental species, while rates of establishment across the ponds displayed a saturation response to propagule pressure. This shows that propagule pressure is a significant driver of establishment overall. Those species that did not establish were either extremely rare at the immigration source or lacked the reproductive adaptations to breed in the ponds. The ability of all nine species to arrive at some of the ponds illustrates how long-term continuous propagule pressure from IBWT infrastructure enables range expansion of fishes. The quantitative link between propagule pressure and success and rate of population establishment confirms the driving role of this factor in fish invasion ecology."
"Propagule pressure hypothesis not supported by an 80-year experiment on woody species invasion/Contribution 1","Experimental","South America","Propagule pressure","Questioned",18,"Field","Testing the propagule pressure hypothesis in invasion biology",2011,"Propagule pressure hypothesis not supported by an 80-year experiment on woody species invasion/Contribution 1","Propagule pressure hypothesis not supported by an 80-year experiment on woody species invasion","Terrestrial","Plants",NA,NA,"Establishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule frequency",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule pressure hypothesis not supported by an 80-year experiment on woody species invasion","10.1111/j.1600-0706.2011.19504.x","Ecological filters and availability of propagules play key roles structuring natural communities. Propagule pressure has recently been suggested to be a fundamental factor explaining the success or failure of biological introductions. We tested this hypothesis with a remarkable data set on trees introduced to Isla Victoria, Nahuel Huapi National Park, Argentina. More than 130 species of woody plants, many known to be highly invasive elsewhere, were introduced to this island early in the 20th century, as part of an experiment to test their suitability as commercial forestry trees for this region. We obtained detailed data on three estimates of propagule pressure (number of introduced individuals, number of areas where introduced, and number of years during which the species was planted) for 18 exotic woody species. We matched these data with a survey of the species and number of individuals currently invading the island. None of the three estimates of propagule pressure predicted the current pattern of invasion. We suggest that other factors, such as biotic resistance, may be operating to determine the observed pattern of invasion, and that propagule pressure may play a relatively minor role in explaining at least some observed patterns of invasion success and failure."
"Propagule pressure hypothesis not supported by an 80-year experiment on woody species invasion/Contribution 2","Experimental","South America","Propagule pressure","Questioned",18,"Field","Testing the propagule pressure hypothesis in invasion biology",2011,"Propagule pressure hypothesis not supported by an 80-year experiment on woody species invasion/Contribution 2","Propagule pressure hypothesis not supported by an 80-year experiment on woody species invasion","Terrestrial","Plants",NA,NA,"Establishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule pressure hypothesis not supported by an 80-year experiment on woody species invasion","10.1111/j.1600-0706.2011.19504.x","Ecological filters and availability of propagules play key roles structuring natural communities. Propagule pressure has recently been suggested to be a fundamental factor explaining the success or failure of biological introductions. We tested this hypothesis with a remarkable data set on trees introduced to Isla Victoria, Nahuel Huapi National Park, Argentina. More than 130 species of woody plants, many known to be highly invasive elsewhere, were introduced to this island early in the 20th century, as part of an experiment to test their suitability as commercial forestry trees for this region. We obtained detailed data on three estimates of propagule pressure (number of introduced individuals, number of areas where introduced, and number of years during which the species was planted) for 18 exotic woody species. We matched these data with a survey of the species and number of individuals currently invading the island. None of the three estimates of propagule pressure predicted the current pattern of invasion. We suggest that other factors, such as biotic resistance, may be operating to determine the observed pattern of invasion, and that propagule pressure may play a relatively minor role in explaining at least some observed patterns of invasion success and failure."
"Propagule pressure of an invasive crab overwhelms native biotic resistance/Contribution 1","Experimental","North America","Propagule pressure","Supported",1,"Field","Testing the propagule pressure hypothesis in invasion biology",2007,"Propagule pressure of an invasive crab overwhelms native biotic resistance/Contribution 1","Propagule pressure of an invasive crab overwhelms native biotic resistance","Marine","Crustaceans",NA,NA,"Recruitment, reproduction",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule pressure of an invasive crab overwhelms native biotic resistance","10.3354/meps342191","Over the last decade, the porcelain crab Petrolisthes armatus invaded oyster reefs of Georgia, USA, at mean densities of up to 11000 adults M-2. Interactions affecting the invasion are undocumented. We tested the effects of native species richness and composition on invasibility by constructing isolated reef communities with 0, 2, or 4 of the most common native species, by seeding adult P. armatus into a subset of the 4 native species communities and by constructing communities with and without native, predatory mud crabs. At 4 wk, recruitment of R armatus juveniles to oyster shells lacking native species was 2.75 times greater than to the 2 native species treatment and 3.75 times greater than to the 4 native species treatment. The biotic resistance produced by 2 species of native filter feeders may have occurred due to competition with, or predation on, the settling juveniles of the filter feeding invasive crab. Adding adult porcelain crabs to communities with 4 native species enhanced recruitment by a significant 3-fold, and countered the effects of native biotic resistance. Differences in recruitment at Week 4 were lost by Weeks 8 and 12, when densities of recent recruits reached similar to 17 000 to 34 000 crabs m(-2) across all treatments. Thus, native species richness slows initial invasion, but early colonists stimulate settlement by later ones and produce tremendous propagule pressure that overwhelms the effects of biotic resistance."
"Propagule Size and the Relative Success of Exotic Ungulate and Bird Introductions to New Zealand/Contribution 1","Observational or correlational","Oceania","Propagule pressure","Supported",14,"Field","Testing the propagule pressure hypothesis in invasion biology",2001,"Propagule Size and the Relative Success of Exotic Ungulate and Bird Introductions to New Zealand/Contribution 1","Propagule Size and the Relative Success of Exotic Ungulate and Bird Introductions to New Zealand","Terrestrial","Mammals",NA,NA,"Establishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Propagule Size and the Relative Success of Exotic Ungulate and Bird Introductions to New Zealand","10.1086/320626","We investigated factors affecting the success of 14 species of ungulates introduced to New Zealand around 1851-1926. The 11 successful species had a shorter maximum life span and were introduced in greater numbers than the three unsuccessful species. Because introduction effort was confounded with other life-history traits, we examined whether independent introductions of the same species were more likely to succeed when a greater number of individuals were introduced. For the six species with introductions that both succeeded and failed, successful introductions always involved an equal or greater number of individuals than unsuccessful introductions of the same species. For all independent introductions, there was a highly significant relationship between the number of individuals introduced and introduction success. When data for ungulate and bird introductions to New Zealand were combined, a variable categorizing species as ungulate or bird was a highly significant predictor of introduction success, after variation in introduction effort was controlled. For a given number of individuals introduced, ungulates were much more likely to succeed than birds."
"Propagule Size and the Relative Success of Exotic Ungulate and Bird Introductions to New Zealand/Contribution 2","Observational or correlational","Oceania","Tens rule","Questioned",14,"Field","Testing the tens rule hypothesis in invasion biology",2001,"Propagule Size and the Relative Success of Exotic Ungulate and Bird Introductions to New Zealand/Contribution 2","Propagule Size and the Relative Success of Exotic Ungulate and Bird Introductions to New Zealand","Terrestrial","Mammals","['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Introduction -> Establishment","78,6%",NA,NA,NA,NA,NA,"Propagule Size and the Relative Success of Exotic Ungulate and Bird Introductions to New Zealand","10.1086/320626","We investigated factors affecting the success of 14 species of ungulates introduced to New Zealand around 1851-1926. The 11 successful species had a shorter maximum life span and were introduced in greater numbers than the three unsuccessful species. Because introduction effort was confounded with other life-history traits, we examined whether independent introductions of the same species were more likely to succeed when a greater number of individuals were introduced. For the six species with introductions that both succeeded and failed, successful introductions always involved an equal or greater number of individuals than unsuccessful introductions of the same species. For all independent introductions, there was a highly significant relationship between the number of individuals introduced and introduction success. When data for ungulate and bird introductions to New Zealand were combined, a variable categorizing species as ungulate or bird was a highly significant predictor of introduction success, after variation in introduction effort was controlled. For a given number of individuals introduced, ungulates were much more likely to succeed than birds."
"Quantifying 'apparent' impact and distinguishing impact from invasiveness in multispecies plant invasions/Contribution 1","Observational","North America","Invasional meltdown","Questioned",25,"Field","Testing the invasional meltdown hypothesis in invasion biology",2016,"Quantifying ""apparent"" impact and distinguishing impact from invasiveness in multispecies plant invasions/Contribution 1","Quantifying 'apparent' impact and distinguishing impact from invasiveness in multispecies plant invasions","Terrestrial","Plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Multi species interaction","interactive effects of multiple invaders on native plant abundance (percent cover), we found no evidence for invasional meltdown or synergistic interactions","Population","Impact on native species",NA,NA,NA,NA,NA,NA,NA,"Quantifying 'apparent' impact and distinguishing impact from invasiveness in multispecies plant invasions","10.1890/14-2345","The quantification of invader impacts remains a major hurdle to understanding and managing invasions. Here, we demonstrate a method for quantifying the community-level impact of multiple plant invaders by applying Parker et al.'s (1999) equation (impact = range x local abundance x per capita effect or per unit effect) using data from 620 survey plots from 31 grasslands across west-central Montana, USA. In testing for interactive effects of multiple invaders on native plant abundance (percent cover), we found no evidence for invasional meltdown or synergistic interactions for the 25 exotics tested. While much concern exists regarding impact thresholds, we also found little evidence for nonlinear relationships between invader abundance and impacts. These results suggest that management actions that reduce invader abundance should reduce invader impacts monotonically in this system. Eleven of 25 invaders had significant per unit impacts (negative local-scale relationships between invader and native cover). In decomposing the components of impact, we found that local invader abundance had a significant influence on the likelihood of impact, but range (number of plots occupied) did not. This analysis helped to differentiate measures of invasiveness (local abundance and range) from impact to distinguish high-impact invaders from invaders that exhibit negligible impacts, even when widespread. Distinguishing between high-and low-impact invaders should help refine trait-based prediction of problem species. Despite the unique information derived from evaluation of per unit effects of invaders, invasiveness scores based on range and local abundance produced similar rankings to impact scores that incorporated estimates of per unit effects. Hence, information on range and local abundance alone was sufficient to identify problematic plant invaders at the regional scale. In comparing empirical data on invader impacts to the state noxious weed list, we found that the noxious weed list captured 45% of the high-impact invaders but missed 55% and assigned the lowest risk category to the highest-impact invader. While such subjective weed lists help to guide invasive species management, empirical data are needed to develop more comprehensive rankings of ecological impacts. Using weed lists to classify invaders for testing invasion theory is not well supported."
"Quantifying the impact of an extreme climate event on species diversity in fragmented temperate forests: the effect of the October 1987 storm on British broadleaved woodlands/Contribution 1","Experimental","Europe","Disturbance","Questioned",3,"Enclosure","Testing the disturbance hypothesis in invasion biology",2014,"Quantifying the impact of an extreme climate event on species diversity in fragmented temperate forests: the effect of the October 1987 storm on British broadleaved woodlands/Contribution 1","Quantifying the impact of an extreme climate event on species diversity in fragmented temperate forests: the effect of the October 1987 storm on British broadleaved woodlands","Terrestrial","Plants",NA,NA,"Number of exotic species",NA,NA,NA,NA,NA,NA,"locally gusting to 160 kph - changes in woody basal area and soil pH","Storm","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantifying the impact of an extreme climate event on species diversity in fragmented temperate forests: the effect of the October 1987 storm on British broadleaved woodlands","10.1111/1365-2745.12291","1. We report the impact of an extreme weather event, the October 1987 severe storm, on fragmented woodlands in southern Britain. We analysed ecological changes between 1971 and 2002 in 143 200-m(2) plots in 10 woodland sites exposed to the storm with an ecologically equivalent sample of 150 plots in 16 non-exposed sites. Comparing both years, understorey plant species-richness, species composition, soil pH and woody basal area of the tree and shrub canopy were measured. 2. We tested the hypothesis that the storm had deflected sites from the wider national trajectory of an increase in woody basal area and reduced understorey species-richness associated with ageing canopies and declining woodland management. We also expected storm disturbance to amplify the background trend of increasing soil pH, a UK-wide response to reduced atmospheric sulphur deposition. Path analysis was used to quantify indirect effects of storm exposure on understorey species richness via changes in woody basal area and soil pH. 3. By 2002, storm exposure was estimated to have increased mean species richness per 200 m(2) by 32%. Woody basal area changes were highly variable and did not significantly differ with storm exposure. 4. Increasing soil pH was associated with a 7% increase in richness. There was no evidence that soil pH increased more as a function of storm exposure. Changes in species richness and basal area were negatively correlated: a 3.4% decrease in richness occurred for every 0.1-m(2) increase in woody basal area per plot. 5. Despite all sites substantially exceeding the empirical critical load for nitrogen deposition, there was no evidence that in the 15 years since the storm, disturbance had triggered a eutrophication effect associated with dominance of gaps by nitrophilous species. 6. Synthesis. Although the impacts of the 1987 storm were spatially variable in terms of impacts on woody basal area, the storm had a positive effect on understorey species richness. There was no evidence that disturbance had increased dominance of gaps by invasive species. This could change if recovery from acidification results in a soil pH regime associated with greater macronutrient availability."
"Quarantine arthropod invasions in Europe: the role of climate, hosts and propagule pressure/Contribution 1","Observational or correlational","Europe","Propagule pressure","Undecided",118,"Field","Testing the propagule pressure hypothesis in invasion biology",2014,"Quarantine arthropod invasions in Europe: the role of climate, hosts and propagule pressure/Contribution 1","Quarantine arthropod invasions in Europe: the role of climate, hosts and propagule pressure","Terrestrial/Freshwater/Marine","Any invertebrates",NA,NA,"Establishment",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other proxies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quarantine arthropod invasions in Europe: the role of climate, hosts and propagule pressure","10.1111/ddi.12149","AimTo quantify the relative importance of propagule pressure, climate-matching and host availability for the invasion of agricultural pest arthropods in Europe and to forecast newly emerging pest species and European areas with the highest risk of arthropod invasion under current climate and a future climate scenario (A1F1). LocationEurope. MethodsWe quantified propagule pressure, climate-matching and host availability by aggregating large global databases for trade, European arthropod interceptions, Koeppen-Geiger world climate classification (including the A1F1 climate change scenario until 2100) and host plant distributions for 118 quarantine arthropod species. ResultsAs expected, all the three factors, propagule pressure, climate suitability and host availability, significantly explained quarantine arthropod invasions in Europe, but the propagule pressure only had a positive effect on invasion success when considered together with climate suitability and host availability. Climate change according to the A1F1 scenario generally increased the climate suitability of north-eastern European countries and reduced the climate suitability of central European countries for pest arthropod invasions. Main conclusionsTo our knowledge, this is the first demonstration that propagule pressure interacts with other factors to drive invasions and is not alone sufficient to explain arthropod establishment patterns. European countries with more suitable climate and large agricultural areas of suitable host plants for pest arthropods should thus be more vigilant about introduction pathways. Moreover, efforts to reduce the propagule pressure, such as preventing pests from entering pathways and strengthening border controls, will become more important in north-eastern Europe in the future as the climate becomes more favourable to arthropod invasions."
"Range expansion and population dynamics of co-occuring invasive herbivores/Contribution 1","Observational","North America","Invasional meltdown","Supported",2,"Field","Testing the invasional meltdown hypothesis in invasion biology",2008,"Range expansion and population dynamics of co-occuring invasive herbivores/Contribution 1","Range expansion and population dynamics of co-occuring invasive herbivores","Terrestrial","Insects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A - B","one non native weakens the host -plant of another","Population","Abundance and or Density",NA,NA,NA,NA,NA,NA,NA,"Range expansion and population dynamics of co-occuring invasive herbivores","10.1007/s10530-007-9123-z","Although a range of studies have suggested that competition plays a critical role in determining herbivore assemblages, there has been little work addressing the nature of interactions between competing invasive herbivores. We report the results of research on the hemlock woolly adelgid Adelges tsugae ('HWA') and elongate hemlock scale Fiorinia externa ('EHS'), invasive herbivores that both feed on eastern hemlock (Tsuga canadensis). HWA has been linked to hemlock mortality throughout the East Coast of the US; the loss of hemlock threatens to permanently alter surrounding ecosystems. We assessed the spread and impact of both species by resurveying 142 hemlock stands across a 7,500 km(2) latitudinal transect, running from coastal CT to northern MA, for HWA and EHS density as well as hemlock mortality. These stands had been previously surveyed in either 1997-1998 (CT) or 2002-2004 (MA). While the number of HWA-infested stands has increased, per-stand HWA density has substantially decreased. In contrast, EHS distribution and density has increased dramatically since 1997-1998. Hemlock mortality was much more strongly related to HWA density than to EHS density, and many stands remain relatively healthy despite an overall increase in hemlock mortality. There was a positive correlation between HWA and EHS densities in stands with low mean HWA densities, suggesting the potential for host-plant-mediated facilitation of EHS by HWA. Our findings underline the importance of research explicitly addressing interactions between competing invasive species, and of determining the potential consequences of these interactions for the invaded ecosystem."
"Range expansion of Agrilus convexicollis in European Russia expedited by the invasion of the emerald ash borer, Agrilus planipennis (Coleoptera: Buprestidae)/Contribution 1","Observational","Europe","Invasional meltdown","Supported",2,"Field","Testing the invasional meltdown hypothesis in invasion biology",2015,"Range expansion of Agrilus convexicollis in European Russia expedited by the invasion of the emerald ash borer, Agrilus planipennis (Coleoptera: Buprestidae)/Contribution 1","Range expansion of Agrilus convexicollis in European Russia expedited by the invasion of the emerald ash borer, Agrilus planipennis (Coleoptera: Buprestidae)","Terrestrial","Insects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A - B","Indirect facilitation allowed range expansion","Population","Dispersal",NA,NA,NA,NA,NA,NA,NA,"Range expansion of Agrilus convexicollis in European Russia expedited by the invasion of the emerald ash borer, Agrilus planipennis (Coleoptera: Buprestidae)","10.1007/s10530-014-0762-6","The jewel beetle Agrilus convexicollis Redtenbacher, 1849 (Buprestidae) occurs in many European and North Mediterranean countries and feeds mainly on dying shoots and branches of ash trees (Fraxinus excelsior, F. ornus and F. oxyphylla). A range map of A. convexicollis with 479 exact localities from the literature and museum collections is compiled. Historically, this species was not known to be present in the central region of European Russia. Since 2007, however, specimens of A. convexicollis have been collected in seven central European Russia localities, effectively expanding the northern border of the previously known range by approximately 665 km. All recently established localities of A. convexicollis are within the region invaded by emerald ash borer (A. planipennis Fairmaire), an East Asian pest of ashes that was first detected in European Russia in 2003. In addition, almost all A. convexicollis specimens from central European Russia (both adults and larvae) were collected from declining F. pennsylvanica (an introduced North American ash) infested with A. planipennis. This is a new host record for A. convexicollis. We suspect that the recent range expansion of A. convexicollis in central European Russia has been facilitated by the A. planipennis invasion, which has caused widespread decline and mortality of ash trees in the region. This work illustrates how the invasion of one species can facilitate the range expansion of another."
"Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks/Contribution 1","Experimental","['Europe', 'North-America']","Enemy release","Undecided",1,"Enclosure","Testing the enemy release hypothesis in invasion biology",2011,"Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks/Contribution 1","Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks","Terrestrial","Plants","['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P HA","Aliens in native and invaded range","Performance","no differentiation","Range-expanding populations of a globally introduced weed experience negative plant-soil feedbacks","10.1371/journal.pone.0020117","Background: Biological invasions are fundamentally biogeographic processes that occur over large spatial scales. Interactions with soil microbes can have strong impacts on plant invasions, but how these interactions vary among areas where introduced species are highly invasive vs. naturalized is still unknown. In this study, we examined biogeographic variation in plant-soil microbe interactions of a globally invasive weed, Centaurea solstitialis (yellow starthistle). We addressed the following questions (1) Is Centaurea released from natural enemy pressure from soil microbes in introduced regions? and (2) Is variation in plant-soil feedbacks associated with variation in Centaurea's invasive success? Methodology/Principal Findings: We conducted greenhouse experiments using soils and seeds collected from native Eurasian populations and introduced populations spanning North and South America where Centaurea is highly invasive and noninvasive. Soil microbes had pervasive negative effects in all regions, although the magnitude of their effect varied among regions. These patterns were not unequivocally congruent with the enemy release hypothesis. Surprisingly, we also found that Centaurea generated strong negative feedbacks in regions where it is the most invasive, while it generated neutral plant-soil feedbacks where it is noninvasive. Conclusions/Significance: Recent studies have found reduced below-ground enemy attack and more positive plant-soil feedbacks in range-expanding plant populations, but we found increased negative effects of soil microbes in range-expanding Centaurea populations. While such negative feedbacks may limit the long-term persistence of invasive plants, such feedbacks may also contribute to the success of invasions, either by having disproportionately negative impacts on competing species, or by yielding relatively better growth in uncolonized areas that would encourage lateral spread. Enemy release from soil-borne pathogens is not sufficient to explain the success of this weed in such different regions. The biogeographic variation in soil-microbe effects indicates that different mechanisms may operate on this species in different regions, thus establishing geographic mosaics of species interactions that contribute to variation in invasion success."
